# M i_30 i_45 i_60 i_80 i_90
2.000000000000000000e+01 6.970187973810886284e-01 8.034035451508472672e-04 6.729947349373903518e-04 5.540459638310830590e-04 5.411423829882187116e-04
4.000000000000000000e+01 3.192580911732688029e-03 2.320836237987893014e-03 1.889064460761210847e-03 1.759391339902100296e-03 1.628303999731489215e-03
6.000000000000000000e+01 5.807068739466215990e-03 4.572825020254015459e-03 3.785222192150120880e-03 3.631400693796461160e-03 2.826174335692490172e-03
8.000000000000000000e+01 8.353215563043123182e-03 5.982518035962446599e-03 5.291066921847221473e-03 4.866564516466589420e-03 3.966878566621237848e-03
1.000000000000000000e+02 7.821649103190976560e-03 5.934279225526774976e-03 5.144191459297531646e-03 4.474259578003765038e-03 4.278281733867364545e-03
1.200000000000000000e+02 6.671347407298758303e-03 5.475288905413327675e-03 5.139319668050341440e-03 4.595325663459553719e-03 4.127415714614408176e-03
1.400000000000000000e+02 6.664491040452948101e-03 4.980242217696979543e-03 4.462025682975778035e-03 4.332898321067151989e-03 3.929989243879083646e-03
1.600000000000000000e+02 6.767976042325376043e-03 4.951860824983599432e-03 4.158872533198859286e-03 4.614591627321879691e-03 3.997606739451030691e-03
1.800000000000000000e+02 6.320808172238788145e-03 4.608532618217241542e-03 4.244647343185706245e-03 4.378803292417965398e-03 4.174684320098319933e-03
2.000000000000000000e+02 6.350718661154289291e-03 4.369127621515583350e-03 4.187281484495495101e-03 3.736584114551929833e-03 3.771973759117079605e-03
