# q i_30 i_45 i_60 i_80 i_90
1.000000000000000000e+00 4.445273055938064211e+00 3.420977446728350468e+00 1.621533295981372413e+00 1.308305406364081769e+00 1.285655362957890624e+00
1.500000000000000000e+00 2.678541475213115142e+00 2.165887742270404814e+00 1.145061426102288671e+00 1.239893021965986913e-02 1.523905354899473055e-02
2.000000000000000000e+00 1.509340085576321933e+00 4.128301549484067468e-02 1.331683135647074995e-02 7.444872295274068165e-03 6.735595814349581295e-03
3.000000000000000000e+00 1.087722822366098963e-01 7.556168146521335255e-03 6.109999528700310600e-03 4.266634811931744979e-03 4.022809613516338881e-03
4.000000000000000000e+00 1.295773321342493650e-02 5.323694803827928174e-03 4.135599531094769077e-03 3.420602179963080913e-03 3.144772464902718858e-03
5.000000000000000000e+00 7.376817538354514536e-03 3.994062994821679508e-03 3.306678149415345942e-03 3.151576755249741769e-03 2.735418800532136117e-03
6.000000000000000000e+00 5.101366674871071760e-03 3.395376135600015888e-03 2.960631938978564200e-03 2.411669634616759716e-03 2.190633000666852848e-03
7.000000000000000000e+00 4.434382299771784386e-03 2.886395664592754026e-03 2.489043389982919900e-03 2.435749713717414236e-03 1.990441597238903210e-03
8.000000000000000000e+00 3.600778172884233630e-03 2.515364386971065402e-03 2.122867852717900700e-03 1.923254710120556217e-03 1.938722968150405042e-03
9.000000000000000000e+00 3.220727564406670324e-03 2.203524115063575529e-03 1.928964310947471139e-03 1.940209255115543305e-03 1.658163447197353625e-03
