# M i_30 i_45 i_60 i_80 i_90
2.000000000000000000e+01 6.972422640395807836e-01 8.033999553255959710e-04 6.729250594674483256e-04 5.542366512241988586e-04 5.410242238633978466e-04
4.000000000000000000e+01 3.193447128891144585e-03 2.325929107414588092e-03 1.937587033672603064e-03 1.758007198334756620e-03 1.628693131336281328e-03
6.000000000000000000e+01 5.830662801391014657e-03 4.573144295593080735e-03 3.778027680514978778e-03 3.628565595198822349e-03 2.829788593526613889e-03
8.000000000000000000e+01 8.149293061947539274e-03 5.987082304042960421e-03 5.270936733826833004e-03 4.832989570750047259e-03 4.056792464767491890e-03
1.000000000000000000e+02 7.841141252368203848e-03 5.945740401659292337e-03 5.142822341077487452e-03 4.486362632228678080e-03 4.167001844953818757e-03
1.200000000000000000e+02 6.714811274820217148e-03 5.441893303123806168e-03 5.001631554299699328e-03 4.707554767822260712e-03 4.142343221240209900e-03
1.400000000000000000e+02 6.808019880172185359e-03 4.959963440261378961e-03 4.670979530760322428e-03 4.292603935688713013e-03 3.912879932825866214e-03
1.600000000000000000e+02 6.919201725786719610e-03 4.943569983999785387e-03 4.266903148332919574e-03 4.623479900615655620e-03 3.982628892559483130e-03
1.800000000000000000e+02 6.637431747658950436e-03 4.615624866612775060e-03 4.430246073622970231e-03 4.296512818411862313e-03 4.139667893400649119e-03
2.000000000000000000e+02 6.503224024116062603e-03 4.389438338587244026e-03 4.380211721472219814e-03 3.754560254512163617e-03 3.745425331866586004e-03
