# q i_30 i_45 i_60 i_80 i_90
1.000000000000000000e+00 4.437178861656451367e+00 3.424042427645155318e+00 1.624649418205863505e+00 1.305416437568460264e+00 1.289608679100062716e+00
1.500000000000000000e+00 2.685788020766857631e+00 2.171053430199872736e+00 1.149296123829074201e+00 1.245112818807627038e-02 1.530108767596436922e-02
2.000000000000000000e+00 1.510570394920766724e+00 4.851892066422125449e-02 1.336221010907727089e-02 7.230143342701106715e-03 6.761642079357508411e-03
3.000000000000000000e+00 1.088337066321851121e-01 7.566135910143583637e-03 5.915331101564684849e-03 4.276086050568346508e-03 4.035290390411830873e-03
4.000000000000000000e+00 1.299189752878041060e-02 5.333088416831263667e-03 4.159321278874594102e-03 3.412143680193645626e-03 3.317519845271954104e-03
5.000000000000000000e+00 8.149034740587278447e-03 3.984942600672811835e-03 3.307867134129538131e-03 3.154856416522932618e-03 2.792737761907096005e-03
6.000000000000000000e+00 5.092035934782801476e-03 3.396747900025150202e-03 2.955791401784862906e-03 2.408722434114851998e-03 2.190840520662500849e-03
7.000000000000000000e+00 4.444584545037528686e-03 2.887208947654995757e-03 2.483047551936811304e-03 2.434090302257448102e-03 1.990644885397340261e-03
8.000000000000000000e+00 3.601909770342279909e-03 2.512211181661714622e-03 2.121530295962924251e-03 1.921626658389329664e-03 1.942796549720299118e-03
9.000000000000000000e+00 3.231080850150801643e-03 2.206554036184230419e-03 1.927537237935034739e-03 1.940378848204646258e-03 1.658249301160406603e-03
