# M i_30 i_45 i_60 i_80 i_90
2.000000000000000000e+01 1.847862084368383402e-03 1.009772056948816466e-03 7.349736649914866658e-04 5.166689335712240910e-04 4.754946500882525689e-04
4.000000000000000000e+01 1.775635743325368505e-03 9.801827171015608728e-04 7.568562490726166766e-04 4.722742551972910997e-04 5.097730860122858757e-04
6.000000000000000000e+01 1.358665032394677005e-03 8.637110267253472751e-04 6.631756129747370552e-04 5.038234924131915248e-04 4.375443278965555536e-04
8.000000000000000000e+01 1.079286777450010016e-03 7.607615215246337978e-04 6.138214558849808787e-04 4.771147027952505433e-04 4.473670839841863058e-04
1.000000000000000000e+02 1.011236343401458737e-03 6.983857441897483882e-04 5.758648815150924083e-04 4.186772018310649934e-04 4.468974633925715213e-04
1.200000000000000000e+02 8.379333977791914370e-04 7.041138388946599274e-04 5.767664843386138525e-04 4.572817382391223141e-04 4.545625572842892882e-04
1.400000000000000000e+02 8.382849823415439508e-04 5.734359396579284673e-04 5.769751315904038001e-04 4.249223720072141451e-04 4.533821016214842348e-04
1.600000000000000000e+02 7.938118590798459500e-04 5.890120599215731062e-04 5.405670935126677054e-04 4.611995520138302898e-04 4.113793712275992448e-04
1.800000000000000000e+02 8.040777317612013766e-04 5.560895685374272687e-04 5.226963687820884285e-04 4.244468757729677444e-04 4.348977633346524929e-04
2.000000000000000000e+02 8.554949564652788779e-04 5.190343939494537111e-04 5.481190358691419816e-04 4.578916705566804784e-04 4.160634834356666516e-04
