# M i_30 i_45 i_60 i_80 i_90
2.000000000000000000e+01 1.707511789595628129e-03 1.026998190121186476e-03 7.701960449187150249e-04 4.984397178828751506e-04 4.553734732527195297e-04
4.000000000000000000e+01 1.652304288387074910e-03 1.003585658579664308e-03 7.401021858868084106e-04 5.455076032969306214e-04 4.177369306730058240e-04
6.000000000000000000e+01 1.373428161583798747e-03 8.590184784060279216e-04 6.493855219964483894e-04 5.240452740379175764e-04 4.340586010327774453e-04
8.000000000000000000e+01 1.114124747136236533e-03 7.901258620075699533e-04 6.130793416442906468e-04 4.677851572012170717e-04 3.891569268974820386e-04
1.000000000000000000e+02 1.034773198937676128e-03 6.772016282531984847e-04 5.623985595538200316e-04 4.523732597982440618e-04 4.015273552303046372e-04
1.200000000000000000e+02 8.845179742536668109e-04 6.816927914577714095e-04 5.514634279026503537e-04 4.745960225193485626e-04 4.154568042669705419e-04
1.400000000000000000e+02 8.063596783246185706e-04 6.034334812076152122e-04 4.912399181271892698e-04 4.693283573229136384e-04 3.832275435421045361e-04
1.600000000000000000e+02 8.057793818544815856e-04 5.936135093998818647e-04 5.122307825902353657e-04 4.303061340714920096e-04 3.692018255238731011e-04
1.800000000000000000e+02 7.999081309519194462e-04 5.631804071094026519e-04 5.159401827492867288e-04 4.545640043539833945e-04 3.905873252029581693e-04
2.000000000000000000e+02 8.102446027693230649e-04 5.553251669055984593e-04 4.589630629438297307e-04 4.325045171020200623e-04 3.916789246653523291e-04
