# q i_30 i_45 i_60 i_80 i_90
1.000000000000000000e+00 7.000985197968583318e-01 7.543196065777515447e-01 8.342336526819098541e-01 3.467208135340814068e-01 3.939541100372463411e-01
1.500000000000000000e+00 6.434849844171006694e-01 7.296577689079836171e-01 5.083961598268890159e-01 2.091249464462873187e-01 6.177234692253857906e-02
2.000000000000000000e+00 7.409007980758743894e-01 5.343660796888517472e-01 2.935846397284410519e-02 1.242232567526441352e-02 1.170794553343377370e-02
3.000000000000000000e+00 7.369803048724283823e-01 8.351903511729524138e-03 5.211344726216904887e-03 3.703803432227988513e-03 3.885449093863431805e-03
4.000000000000000000e+00 1.373301808855968004e-02 4.145525928482585686e-03 2.954388287679092420e-03 2.221402009970940665e-03 1.827829419231026195e-03
5.000000000000000000e+00 5.778887215577205305e-03 2.852547487142855984e-03 2.051328147882515527e-03 1.362879700024421676e-03 1.240095253805348352e-03
6.000000000000000000e+00 3.662115013439967530e-03 1.860269672001785713e-03 1.305887080209990059e-03 8.823950016712876852e-04 8.491890586574423784e-04
7.000000000000000000e+00 2.788136068633127913e-03 1.578170319134740386e-03 1.247762328689206845e-03 7.859762343714665409e-04 8.003921419645454016e-04
8.000000000000000000e+00 2.134534242066801930e-03 1.163522715397553430e-03 7.885890936135930276e-04 5.714559125861145422e-04 5.287735992557018785e-04
9.000000000000000000e+00 1.620900328494420672e-03 9.778197525607795326e-04 7.923619165235479180e-04 5.582065451429849001e-04 4.577748265715769023e-04
