# M i_30 i_45 i_60 i_80 i_90
2.000000000000000000e+01 1.657880002595472912e-02 9.061971324240251230e-03 6.597356192233606170e-03 4.618820067748564615e-03 4.490309415125886411e-03
4.000000000000000000e+01 1.591540961443809951e-02 8.856702066976623183e-03 6.739686537522515154e-03 4.191330015210761525e-03 4.495513618885981985e-03
6.000000000000000000e+01 1.220471621873987951e-02 7.597822484133908913e-03 5.903984511902434645e-03 4.534793667651675769e-03 3.967686524938646153e-03
8.000000000000000000e+01 9.496617883325267698e-03 6.758784074008582568e-03 5.478854132976092826e-03 4.532877827972349796e-03 3.953505228489051851e-03
1.000000000000000000e+02 9.106742530280407394e-03 6.212501901037914033e-03 5.112361064651529952e-03 3.863666818449555066e-03 4.021007820980263860e-03
1.200000000000000000e+02 7.599116105749477261e-03 6.089444727802806150e-03 5.048626620574822935e-03 4.005478913914100464e-03 3.788847148997482022e-03
1.400000000000000000e+02 7.262635590616728191e-03 5.046276247915702437e-03 4.616561758767245144e-03 3.779132607746963149e-03 3.807467813894656675e-03
1.600000000000000000e+02 7.020306334879083260e-03 5.160546816113928403e-03 4.863532506690621156e-03 3.991736552588725714e-03 3.681519430326027700e-03
1.800000000000000000e+02 6.893831079864732453e-03 5.139870649182452962e-03 4.430160561171019203e-03 3.713664752867127349e-03 3.942829751943480697e-03
2.000000000000000000e+02 7.406811117302545405e-03 4.720058134214346300e-03 4.570614857504533279e-03 3.951493522122262458e-03 3.761532505004597324e-03
