# q i_30 i_45 i_60 i_80 i_90
1.000000000000000000e+00 9.316077194417484719e-01 1.086783815506292328e+00 9.145927738378731853e-01 3.629568875844125797e-01 4.368950784178636804e-01
1.500000000000000000e+00 1.021697504175283377e+00 1.079041375657541657e+00 8.371278338496954685e-01 1.159368911806147040e-01 8.481350664687636876e-02
2.000000000000000000e+00 1.508083040889312887e+00 1.118756820568289623e+00 5.533662892452829996e-02 2.400284743636995483e-02 2.404671948819716090e-02
3.000000000000000000e+00 2.110121717400652575e+00 2.429887919356021192e-02 1.610509796992289772e-02 1.159706682115766926e-02 1.053171302696594147e-02
4.000000000000000000e+00 5.695400937798872354e-02 1.595052151056768758e-02 1.126653792107030864e-02 8.798970500547440010e-03 8.898646229278181150e-03
5.000000000000000000e+00 2.875471122759343939e-02 1.433018919114129215e-02 1.024919390043820683e-02 6.842923308437079584e-03 6.121194509201299122e-03
6.000000000000000000e+00 2.159050103102480231e-02 1.141307521494311882e-02 8.055258866188842043e-03 5.271744613102552317e-03 5.026338844070899099e-03
7.000000000000000000e+00 1.934812355260449868e-02 1.100081962824955330e-02 8.692180937071468036e-03 5.459208976983291259e-03 5.625582913700065760e-03
8.000000000000000000e+00 1.716871025650030386e-02 8.975349665704557972e-03 6.371808970310057635e-03 4.593179825203080532e-03 4.247952335591650974e-03
9.000000000000000000e+00 1.455111906875066266e-02 8.909164982930116439e-03 7.105043060510797016e-03 4.924853648781000147e-03 4.091892877546197786e-03
