# M i_30 i_45 i_60 i_80 i_90
2.000000000000000000e+01 1.429698537718685630e-03 6.923909621892700757e-04 5.805458725142623568e-04 6.136958091151311625e-04 7.134096104981143280e-04
4.000000000000000000e+01 2.461527290850540513e-03 1.795601952401414212e-03 1.650969285828995416e-03 1.840486889573683714e-03 2.210717701987477760e-03
6.000000000000000000e+01 3.863399705339355932e-03 2.926939479202192614e-03 2.654777539934526000e-03 3.627452623768871384e-03 4.358238437292380647e-03
8.000000000000000000e+01 4.443130963567454121e-03 3.517134518457907567e-03 3.135274842491745165e-03 4.614328901656680748e-03 5.917833046091185503e-03
1.000000000000000000e+02 4.334181324836319620e-03 3.253000523978050867e-03 3.190349622273575426e-03 5.565180164892280686e-03 6.010429003539285477e-03
1.200000000000000000e+02 3.941940951445269473e-03 3.194622575715279095e-03 2.905787323752525176e-03 4.211779565869320716e-03 5.798121233111489144e-03
1.400000000000000000e+02 3.845034755967374415e-03 2.836898513179681933e-03 2.674025242501998096e-03 4.118365869451912076e-03 5.514918482615469020e-03
1.600000000000000000e+02 3.447621495282360369e-03 2.635845112275942825e-03 2.679072697558207167e-03 3.980582528288614114e-03 5.518037013994227594e-03
1.800000000000000000e+02 3.163420951607970929e-03 2.570683330427109108e-03 2.477635520236731032e-03 3.821376085408898296e-03 5.363723480211774787e-03
2.000000000000000000e+02 3.039391861055452428e-03 2.435127080834567810e-03 2.443897398717426693e-03 4.092897892817791775e-03 5.349397312563329045e-03
