# M i_30 i_45 i_60 i_80 i_90
2.000000000000000000e+01 5.557069799944074073e-03 3.830348162674108471e-03 3.338428409599233058e-03 4.440121957643130592e-03 5.518986695808440410e-03
4.000000000000000000e+01 5.269878053128895790e-03 3.740500920189718595e-03 3.232235497868521986e-03 5.342498532018518861e-03 6.161441105028283086e-03
6.000000000000000000e+01 4.676280889183022024e-03 3.450924148485465422e-03 3.095641258611264018e-03 5.763645086794331671e-03 6.138814299220072580e-03
8.000000000000000000e+01 4.328066357590681229e-03 3.103025786134508759e-03 2.894848918650824894e-03 4.437661220137298010e-03 5.666140610045022376e-03
1.000000000000000000e+02 3.928474171841840612e-03 2.957735297282330228e-03 2.814910897015954032e-03 4.247715265488572096e-03 5.411680269902137408e-03
1.200000000000000000e+02 3.633002982746593931e-03 2.736394107784098119e-03 2.567032562316949422e-03 4.420116068673056800e-03 5.354459016103262602e-03
1.400000000000000000e+02 3.387571625284242598e-03 2.637489118444942895e-03 2.508209959209659577e-03 3.946717692621439129e-03 5.087916061513264587e-03
1.600000000000000000e+02 3.262571828894197772e-03 2.534402360612877936e-03 2.417608209213308913e-03 4.791474233638870830e-03 5.299367164891742761e-03
1.800000000000000000e+02 3.011624735974815018e-03 2.348540191678609272e-03 2.360524191328959315e-03 3.655004962140444031e-03 4.994420145053048848e-03
2.000000000000000000e+02 2.925169704347892110e-03 2.297271089372178096e-03 2.318045368038323256e-03 3.958132397962057028e-03 5.149007953469073376e-03
