# frequency amplitude_GR amplitude_mod_GR
2.000000000000000000e+01 2.489059856045097091e-23 2.489507774172170402e-23
2.010000000000000142e+01 2.107454367281365421e-23 2.151669902968582350e-23
2.020000000000000284e+01 1.810067232389467588e-23 1.810113824927492585e-23
2.030000000000000071e+01 2.831826196868191323e-23 2.827561763288007156e-23
2.040000000000000213e+01 2.533016358280655975e-23 2.557921578712302511e-23
2.050000000000000000e+01 1.378898754248991557e-23 1.415015337429636449e-23
2.060000000000000142e+01 1.669075662870030778e-23 1.674748772736431892e-23
2.070000000000000284e+01 2.493275053356923889e-23 2.509201961909459336e-23
2.080000000000000071e+01 1.971717482203671499e-23 1.988670576914358455e-23
2.090000000000000213e+01 1.146063218968707741e-23 1.170035296174711540e-23
2.100000000000000000e+01 1.726849035438068227e-23 1.714497354005689913e-23
2.110000000000000142e+01 2.600749694730013051e-23 2.587675013137038813e-23
2.120000000000000284e+01 2.238921711149729044e-23 2.263425861661670017e-23
2.130000000000000071e+01 1.675460934732004541e-23 1.715305894017001532e-23
2.140000000000000213e+01 2.003933925181281859e-23 1.985079476470095888e-23
2.150000000000000000e+01 2.402180839378606439e-23 2.398198698286903224e-23
2.160000000000000142e+01 2.350979859070543846e-23 2.406173715315171447e-23
2.170000000000000284e+01 1.595322251540164961e-23 1.626410646713120826e-23
2.180000000000000071e+01 1.123832244007700240e-23 1.105865517435635526e-23
2.190000000000000213e+01 1.908131720919491035e-23 1.919288867619192642e-23
2.200000000000000000e+01 2.213428196089303782e-23 2.219407887139353588e-23
2.210000000000000142e+01 1.710708775087642917e-23 1.747047919840186115e-23
2.220000000000000284e+01 1.372505795068941133e-23 1.384908281551142133e-23
2.230000000000000071e+01 1.403896489560177279e-23 1.361673459794391862e-23
2.240000000000000213e+01 2.221364055705434644e-23 2.222476521608761199e-23
2.250000000000000000e+01 2.486459231331582301e-23 2.492718449490498727e-23
2.260000000000000142e+01 1.860546393973829260e-23 1.909543774699741538e-23
2.270000000000000284e+01 1.544669674227851653e-23 1.556386131321951452e-23
2.280000000000000071e+01 1.593619979482550279e-23 1.565919956014137041e-23
2.290000000000000213e+01 2.337499360059798782e-23 2.357431348670717765e-23
2.300000000000000000e+01 2.141829090943844290e-23 2.163527533219867990e-23
2.310000000000000142e+01 1.761480472389793423e-23 1.821157563920497577e-23
2.320000000000000284e+01 1.051363072739671903e-23 1.056840423869313592e-23
2.330000000000000071e+01 1.113740452485835922e-23 1.117274326766825608e-23
2.340000000000000213e+01 1.795972529134118630e-23 1.783734310093196147e-23
2.350000000000000000e+01 1.926485523218563675e-23 1.948253863729814551e-23
2.360000000000000142e+01 1.892666629416377111e-23 1.904036943708401988e-23
2.370000000000000284e+01 1.407976813337338782e-23 1.449329286920113320e-23
2.380000000000000071e+01 1.148789760383582214e-23 1.129801290694006710e-23
2.390000000000000213e+01 1.366329371533162045e-23 1.350748139221661825e-23
2.400000000000000000e+01 2.108097650078371647e-23 2.085432657504016981e-23
2.410000000000000142e+01 2.227554822126088323e-23 2.254425700313133357e-23
2.420000000000000284e+01 2.028616571908401716e-23 2.048207553998307636e-23
2.430000000000000071e+01 1.567886429463183469e-23 1.621948738913757349e-23
2.440000000000000213e+01 1.210617821074349865e-23 1.194433800017905487e-23
2.450000000000000000e+01 1.558561875984192260e-23 1.561930521132666351e-23
2.460000000000000142e+01 1.889276904739158098e-23 1.877439862491831028e-23
2.470000000000000284e+01 2.192808376169046689e-23 2.230061783101280153e-23
